Size,  Insert AVL,  Search AVL,  Insert BST,  Search BST 
10,9840,0,2130,0
110,98190,0,65930,0
210,314620,0,287670,0
310,626500,0,576770,0
410,1177930,0,1011100,0
510,1824670,0,1443480,0
610,2336550,330,1784110,0
710,4217910,330,2999260,0
810,5080830,330,3694550,0
910,6573750,330,4729130,0
1010,7875430,330,5894410,0
1110,8994740,330,6820490,0
1210,10097680,330,7748230,0
1310,11255610,330,8702160,0
1410,12387780,330,9607380,0
1510,14049960,330,10949710,0
1610,15141540,330,11912540,0
1710,16405670,330,12993500
